order_num: 23529; SHP_ITEM: 40; Summ: 1600.000000; Date: 16.10.2017 17:11
order_num: 26539; SHP_ITEM: 40; Summ: 5000.000000; Date: 15.11.2017 06:50
order_num: 22967; SHP_ITEM: 2; Summ: 12.000000; Date: 12.01.2018 10:15
order_num: 24027; SHP_ITEM: 2; Summ: 300.000000; Date: 27.01.2018 21:23
order_num: 24521; SHP_ITEM: 1; Summ: 60.000000; Date: 03.02.2018 22:18
order_num: 25086; SHP_ITEM: 1; Summ: 350.000000; Date: 13.02.2018 20:58
order_num: 25175; SHP_ITEM: 2; Summ: 300.000000; Date: 14.02.2018 23:48
order_num: 25176; SHP_ITEM: 40; Summ: 280.000000; Date: 15.02.2018 00:15
order_num: 25549; SHP_ITEM: 5; Summ: 1.050000; Date: 20.02.2018 19:31
order_num: 25596; SHP_ITEM: 1; Summ: 3.000000; Date: 21.02.2018 13:39
order_num: 26107; SHP_ITEM: 2; Summ: 19.000000; Date: 02.03.2018 15:47
order_num: 26300; SHP_ITEM: 2; Summ: 19.000000; Date: 06.03.2018 10:53
order_num: 26336; SHP_ITEM: 2; Summ: 300.000000; Date: 06.03.2018 22:20
order_num: 26405; SHP_ITEM: 2; Summ: 36.000000; Date: 08.03.2018 00:05
order_num: 28329; SHP_ITEM: 1; Summ: 30.000000; Date: 14.04.2018 08:54
order_num: 30096; SHP_ITEM: 1; Summ: 20.000000; Date: 08.05.2018 09:35
order_num: 31187; SHP_ITEM: 1; Summ: 20.000000; Date: 23.05.2018 20:33
order_num: 33584; SHP_ITEM: 20; Summ: 3.000000; Date: 23.06.2018 08:28
order_num: 33584; SHP_ITEM: 20; Summ: 3.000000; Date: 23.06.2018 08:29
order_num: 35840; SHP_ITEM: 2; Summ: 9.000000; Date: 17.07.2018 23:35
order_num: 37670; SHP_ITEM: 2; Summ: 17.000000; Date: 04.08.2018 06:13
order_num: 37795; SHP_ITEM: 2; Summ: 17.000000; Date: 05.08.2018 11:22
order_num: 37904; SHP_ITEM: 2; Summ: 15.000000; Date: 06.08.2018 08:44
order_num: 43246; SHP_ITEM: 1; Summ: 100.000000; Date: 13.09.2018 13:21
order_num: 44601; SHP_ITEM: 2; Summ: 9.500000; Date: 24.09.2018 08:09
order_num: 44746; SHP_ITEM: 1; Summ: 17.000000; Date: 25.09.2018 06:34
order_num: 45427; SHP_ITEM: 2; Summ: 149.980000; Date: 30.09.2018 11:08
order_num: 45917; SHP_ITEM: 3; Summ: 2.000000; Date: 04.10.2018 16:44
order_num: 47251; SHP_ITEM: 1; Summ: 20.000000; Date: 13.10.2018 21:14
order_num: 50736; SHP_ITEM: 1; Summ: 10.000000; Date: 06.11.2018 18:33
order_num: 52087; SHP_ITEM: 1; Summ: 395.000000; Date: 14.11.2018 12:19
order_num: 868; SHP_ITEM: 2; Summ: 450.000000; Date: 07.01.2019 16:23
order_num: 868; SHP_ITEM: 2; Summ: 450.000000; Date: 07.01.2019 16:24
order_num: 8007; SHP_ITEM: 1; Summ: 100.000000; Date: 02.02.2019 15:51
order_num: 8089; SHP_ITEM: 1; Summ: 5.000000; Date: 03.02.2019 07:52
order_num: 9212; SHP_ITEM: 1; Summ: 50.000000; Date: 07.02.2019 00:03
order_num: 10978; SHP_ITEM: 8; Summ: 35.000000; Date: 13.02.2019 23:52
order_num: 10978; SHP_ITEM: 8; Summ: 35.000000; Date: 13.02.2019 23:53
order_num: 11981; SHP_ITEM: 1; Summ: 50.000000; Date: 19.02.2019 13:43
order_num: 12699; SHP_ITEM: 1; Summ: 300.000000; Date: 24.02.2019 12:15
order_num: 12713; SHP_ITEM: 1; Summ: 50.000000; Date: 24.02.2019 14:49
order_num: 13361; SHP_ITEM: 8; Summ: 15.000000; Date: 01.03.2019 14:46
order_num: 13361; SHP_ITEM: 8; Summ: 15.000000; Date: 01.03.2019 14:47
order_num: 15797; SHP_ITEM: 1; Summ: 15.000000; Date: 01.04.2019 21:07
order_num: 15798; SHP_ITEM: 1; Summ: 5.000000; Date: 01.04.2019 21:10
